"signature","coef","se","pval","fdr"
"B_cells_naive",-0.153774401123992,0.133843572575939,0.250592532498126,0.45941964291323
"B_cells_memory",-11.6972891155181,2489.18739134991,0.996250562705378,0.996250562705378
"Plasma_cells",0.0506520850730086,0.11723830961237,0.665709577857895,0.976374047524912
"T_cells_CD8",-0.00840363855624631,0.13392482293865,0.949966438287134,0.995202935348426
"T_cells_CD4_naive",-0.123447454053004,0.187466791769896,0.510214938175806,0.86344066460521
"T_cells_CD4_memory_resting",-0.031763375259808,0.124496341599999,0.798618825249553,0.994021684527193
"T_cells_CD4_memory_activated",0.0220598020894,0.123710487739513,0.858473273000757,0.994021684527193
"T_cells_follicular_helper",-0.0645048117304903,0.135442325976706,0.633894157323634,0.976374047524912
"T_cells_regulatory_(Tregs)",-0.231439851631108,0.139097056264482,0.0961377896915878,0.308639596359638
"T_cells_gamma_delta",-0.0162918341393925,0.14199312749605,0.908653760715015,0.995202935348426
"NK_cells_resting",-0.298732383327714,0.149161570395056,0.0452048143131248,0.291250631898669
"NK_cells_activated",0.203580840689809,0.1029322850488,0.0479497743728668,0.291250631898669
"Monocytes",0.0258617923890881,0.129069020150235,0.84118980957873,0.994021684527193
"Macrophages_M0",0.13253915726348,0.113254426853356,0.241889136764629,0.45941964291323
"Macrophages_M1",-0.258540803133249,0.161558927114213,0.10953472037244,0.308639596359638
"Macrophages_M2",0.185668912587885,0.116902465509235,0.112232580494414,0.308639596359638
"Dendritic_cells_resting",-0.0483542851805383,0.133000474502592,0.716183048177448,0.984751691243991
"Dendritic_cells_activated",0.144055358642253,0.11499984660884,0.210330574580883,0.45941964291323
"Mast_cells_resting",-0.393182627701,0.173981902346318,0.0238271273139728,0.291250631898669
"Mast_cells_activated",0.211608843093732,0.127359595407546,0.0966116897363157,0.308639596359638
"Eosinophils",-0.273033269292597,0.218528136966465,0.211511757371094,0.45941964291323
"Neutrophils",0.244119170018762,0.126140841896066,0.0529546603452125,0.291250631898669
