"signature","coef","se","pval","fdr"
"B_cells_naive",-0.088263340901342,0.116289846592103,0.447855914110914,0.709260637419504
"B_cells_memory",-0.37467583928307,0.315690970584004,0.235289278339048,0.709260637419504
"Plasma_cells",-0.210030045491545,0.170586529297972,0.218239499635978,0.709260637419504
"T_cells_CD8",-0.0420435783168417,0.127989555859188,0.742539496386379,0.859782574763176
"T_cells_CD4_naive",0.0122418835343773,0.130279378082311,0.925135851289996,0.942157575270363
"T_cells_CD4_memory_resting",-0.0482029967379748,0.116869394129947,0.680008272594659,0.831121222060138
"T_cells_CD4_memory_activated",0.0157624851735906,0.115665718505324,0.891602933991365,0.942157575270363
"T_cells_follicular_helper",-0.10079740586187,0.12856733062101,0.43303728681667,0.709260637419504
"T_cells_regulatory_(Tregs)",-0.191838244613468,0.125311824858681,0.125797320726091,0.709260637419504
"T_cells_gamma_delta",0.0527791284561268,0.126645730914439,0.676864049989057,0.831121222060138
"NK_cells_resting",-0.087510453562936,0.116189488327578,0.451347678357866,0.709260637419504
"NK_cells_activated",0.159748489589189,0.13621313860041,0.240882730292151,0.709260637419504
"Monocytes",0.101119908894814,0.115781836765148,0.382463667531992,0.709260637419504
"Macrophages_M0",0.138329741186151,0.105452219978729,0.18959556536231,0.709260637419504
"Macrophages_M1",-0.0731945520984554,0.120806010781327,0.544591108343068,0.798733625569833
"Macrophages_M2",0.127021799850471,0.10991409521903,0.247825927099872,0.709260637419504
"Dendritic_cells_resting",-0.00898765602127647,0.123867985624825,0.942157575270363,0.942157575270363
"Dendritic_cells_activated",0.109303442623201,0.108136784760535,0.312117561429266,0.709260637419504
"Mast_cells_resting",-0.228140492647079,0.135390891906205,0.0919788250902241,0.709260637419504
"Mast_cells_activated",0.119611914507984,0.119403349715994,0.316465933596592,0.709260637419504
"Eosinophils",-0.132852878673377,0.143617415746884,0.354941390956618,0.709260637419504
"Neutrophils",0.0703235147235354,0.137985416813979,0.610300511608007,0.831121222060138
