"cellType","protein","gene_name","r","pval","FDR"
"B_cells_naive","ACVRL1","ACVRL1",-0.00799297985463841,0.932137301075574,0.990182781990141
"B_cells_naive","c-Kit","KIT",0.209603841780228,0.0239331295166436,0.168098754492612
"B_cells_naive","c-Met_pY1235","MET",0.00115493927354094,0.990182781990141,0.990182781990141
"B_cells_naive","CD20","MS4A1",0.0807458348301778,0.388880568727603,0.864179041616897
"B_cells_naive","CD31","PECAM1",0.0344738369853536,0.713333478053651,0.990182781990141
"B_cells_naive","CD49b","ITGA2",-0.247686371315599,0.00734729205561228,0.146945841112246
"B_cells_naive","Claudin-7","CLDN7",-0.143344902182112,0.124761386543208,0.445770158886464
"B_cells_naive","E-Cadherin","CDH1",-0.124147867176549,0.18425213462373,0.526434670353514
"B_cells_naive","EGFR","EGFR",-0.0660829177439991,0.480936019664902,0.961872039329805
"B_cells_naive","EGFR_pY1068","EGFR",0.00205769026260814,0.982510162371848,0.990182781990141
"B_cells_naive","EGFR_pY1173","EGFR",0.00401633167120151,0.965869793682547,0.990182781990141
"B_cells_naive","HER2","ERBB2",-0.0179050134162531,0.848705984010605,0.990182781990141
"B_cells_naive","HER2_pY1248","ERBB2",0.0961602606945304,0.304494162771009,0.761235406927522
"B_cells_naive","HER3","ERBB3",-0.0191052898308972,0.838697027319568,0.990182781990141
"B_cells_naive","HER3_pY1289","ERBB3",0.046439616074082,0.620585641379492,0.990182781990141
"B_cells_naive","Heregulin","NRG1",0.0553319348275071,0.555229845464388,0.990182781990141
"B_cells_naive","N-Cadherin","CDH2",0.140059260352343,0.133731047665939,0.445770158886464
"B_cells_naive","Notch1","NOTCH1",0.0197491618286174,0.833338343541968,0.990182781990141
"B_cells_naive","P-Cadherin","CDH3",-0.1539298972381,0.0989900798796196,0.445770158886464
"B_cells_naive","VEGFR2","KDR",-0.207778779410802,0.0252148131738918,0.168098754492612
"B_cells_memory","ACVRL1","ACVRL1",0.119959035820491,0.199616964008031,0.615815709244015
"B_cells_memory","c-Kit","KIT",-0.0964804249380418,0.30287934418177,0.644233400427034
"B_cells_memory","c-Met_pY1235","MET",-0.0706672295681908,0.450963380298924,0.644233400427034
"B_cells_memory","CD20","MS4A1",0.134321952668628,0.150562394824445,0.615815709244015
"B_cells_memory","CD31","PECAM1",0.00424318171161547,0.963943315614263,0.963943315614263
"B_cells_memory","CD49b","ITGA2",-0.0812080261505882,0.386162498062696,0.644233400427034
"B_cells_memory","Claudin-7","CLDN7",-0.0853382383411771,0.36238486796057,0.644233400427034
"B_cells_memory","E-Cadherin","CDH1",-0.0495405430789836,0.597420165836244,0.746775207295305
"B_cells_memory","EGFR","EGFR",0.216375633751119,0.0196530062353921,0.199406408778042
"B_cells_memory","EGFR_pY1068","EGFR",0.182623681978589,0.0497449886316472,0.331633257544314
"B_cells_memory","EGFR_pY1173","EGFR",0.0411890802186292,0.660660015313949,0.77724707683994
"B_cells_memory","HER2","ERBB2",-0.0300478078401896,0.748822512956019,0.832025014395577
"B_cells_memory","HER2_pY1248","ERBB2",0.215882638489617,0.0199406408778042,0.199406408778042
"B_cells_memory","HER3","ERBB3",0.0719080710535466,0.443033896780119,0.644233400427034
"B_cells_memory","HER3_pY1289","ERBB3",-0.125151774446983,0.180701653117194,0.615815709244015
"B_cells_memory","Heregulin","NRG1",0.0748916319731646,0.424293194007057,0.644233400427034
"B_cells_memory","N-Cadherin","CDH2",0.115857666075001,0.215535498235405,0.615815709244015
"B_cells_memory","Notch1","NOTCH1",0.0593629510796563,0.526738150919037,0.702317534558716
"B_cells_memory","P-Cadherin","CDH3",0.0179404271097757,0.848410320490506,0.893063495253164
"B_cells_memory","VEGFR2","KDR",-0.0794886665994688,0.396331690613347,0.644233400427034
"Plasma_cells","ACVRL1","ACVRL1",-0.047354744758709,0.613709054901062,0.968282405749141
"Plasma_cells","c-Kit","KIT",0.178262456263037,0.0555541047254527,0.586363904139625
"Plasma_cells","c-Met_pY1235","MET",-0.100477022345535,0.283195028579736,0.707987571449341
"Plasma_cells","CD20","MS4A1",-0.0454892139017982,0.627762083526769,0.968282405749141
"Plasma_cells","CD31","PECAM1",-0.00477702853525338,0.959410568640769,0.996786640496849
"Plasma_cells","CD49b","ITGA2",-0.166366247324508,0.0742815928772303,0.586363904139625
"Plasma_cells","Claudin-7","CLDN7",0.0363993469229852,0.698078215645723,0.968282405749141
"Plasma_cells","E-Cadherin","CDH1",0.0226067430648552,0.809651203911862,0.996786640496849
"Plasma_cells","EGFR","EGFR",-0.110460974195504,0.237827932108435,0.67950837745267
"Plasma_cells","EGFR_pY1068","EGFR",0.0679415805621092,0.468656635078009,0.937313270156017
"Plasma_cells","EGFR_pY1173","EGFR",-0.136184485807744,0.144932158776285,0.586363904139625
"Plasma_cells","HER2","ERBB2",0.000378024872355141,0.996786640496849,0.996786640496849
"Plasma_cells","HER2_pY1248","ERBB2",0.0781224876637028,0.404524588450494,0.898943529889987
"Plasma_cells","HER3","ERBB3",0.0105644650278485,0.910384414629151,0.996786640496849
"Plasma_cells","HER3_pY1289","ERBB3",-0.0406050791599883,0.665180045774763,0.968282405749141
"Plasma_cells","Heregulin","NRG1",-0.0328594580578136,0.726211804311856,0.968282405749141
"Plasma_cells","N-Cadherin","CDH2",0.136829358329339,0.143020334979138,0.586363904139625
"Plasma_cells","Notch1","NOTCH1",0.00890120657152359,0.924447815220806,0.996786640496849
"Plasma_cells","P-Cadherin","CDH3",-0.126530053601582,0.175909171241887,0.586363904139625
"Plasma_cells","VEGFR2","KDR",-0.131920006604642,0.158064140960224,0.586363904139625
"T_cells_CD8","ACVRL1","ACVRL1",0.0300963448645554,0.748430311187499,0.947635737452153
"T_cells_CD8","c-Kit","KIT",0.162426829688525,0.0815026732795439,0.846439768399925
"T_cells_CD8","c-Met_pY1235","MET",0.0193483446176011,0.836673300289162,0.947635737452153
"T_cells_CD8","CD20","MS4A1",0.0482521938415319,0.606997724831345,0.947635737452153
"T_cells_CD8","CD31","PECAM1",0.085979371025597,0.35877675573305,0.947635737452153
