"signature","pval","fdr"
"B_cells_naive",0,0
"B_cells_memory",0,0
"Plasma_cells",0.046,0.06325
"T_cells_CD8",0.323,0.374
"T_cells_CD4_naive",0,0
"T_cells_CD4_memory_resting",0.442,0.463047619047619
"T_cells_CD4_memory_activated",0.02,0.0314285714285714
"T_cells_follicular_helper",0.368,0.4048
"T_cells_regulatory_(Tregs)",0,0
"T_cells_gamma_delta",0.315,0.374
"NK_cells_resting",0,0
"NK_cells_activated",0.919,0.919
"Monocytes",0.022,0.0322666666666667
"Macrophages_M0",0.002,0.00366666666666667
"Macrophages_M1",0.003,0.00507692307692308
"Macrophages_M2",0,0
"Dendritic_cells_resting",0,0
"Dendritic_cells_activated",0,0
"Mast_cells_resting",0,0
"Mast_cells_activated",0,0
"Eosinophils",0,0
"Neutrophils",0.157,0.203176470588235
