"signature","coef","se","pval","fdr"
"Immune_Checkpoint",0.180931245400184,0.272211116844517,0.506259982329305,0.893581762218866
"TMEscoreA_CIR",0.300794574244482,0.310783960679643,0.333115563138942,0.892639807668857
"TMEscoreB_CIR",0.129548817516151,0.361354692512546,0.719962624248561,0.911494097864163
"B_cells_Rooney_et_al",-0.400777796370792,0.255612318374097,0.11690151103586,0.69491453782428
"pDCs_Rooney_et_al",-0.262962647456758,0.316107798604544,0.405478660652837,0.893581762218866
"Co_stimulation_APC_Rooney_et_al",0.141193602063329,0.382865704512873,0.712290958710182,0.911494097864163
"Co_stimulation_T_cell_Rooney_et_al",-0.455756874128057,0.303312510574042,0.132942652371397,0.70826971804336
"Co_inhibition_T_cell_Rooney_et_al",-0.0777915740180969,0.286645369866775,0.786094078199175,0.934578515192353
"MHC_Class_I",0.195832738039723,0.235293630055998,0.405244787639827,0.893581762218866
"MHC_Class_II",0.196279648077776,0.264450463003903,0.457955827203875,0.893581762218866
"T_cell_inflamed_GEP_Ayers_et_al",-0.0781441997993163,0.279481477462982,0.77978117105504,0.934578515192353
"MDSC_Wang_et_al",0.0988954642382838,0.326539374602946,0.761997141143046,0.926519251162567
"GPAGs",-0.256113244455855,0.276872065988784,0.354953539122569,0.893581762218866
"PPAGs",0.660760944342294,0.333053964741335,0.0472619059092958,0.690985112890056
"HLA_signature_gene",-0.140654841315917,0.316493761586899,0.656741962424748,0.911494097864163
"Neutrophils_Danaher_et_al",0.0131240117928275,0.242399550516103,0.956821979757718,0.995162634584072
"TIP_Cancer_antigen_presentation_1",0.190841469194978,0.320361019096965,0.551370631530443,0.911365815183375
"TIP_Priming_and_activation_1",-0.13157279668498,0.385092568845288,0.732602732862785,0.911494097864163
"TIP_Priming_and_activation_2",-0.00463566953372189,0.328499446729615,0.988740905257483,0.995162634584072
"TIP_Trafficking_of_immune_cells_to_tumors",-0.0394164512098455,0.360031309012469,0.912821291747356,0.976718782169671
"TIP_Recognition_of_cancer_cells_by_T_cells_1",-0.00336885832020119,0.344612169161038,0.992200167407433,0.995162634584072
"TIP_Recognition_of_cancer_cells_by_T_cells_2",0.156488837171293,0.303512305989298,0.606138661704213,0.911494097864163
"TIP_Killing_of_cancer_cells_2",0.0693733679211726,0.34207523162883,0.839290190419009,0.941572206255872
"B_cells_Bindea_et_al",-0.413154848819185,0.31496508127653,0.189605139568477,0.743104348661138
"T_cells_Bindea_et_al",-0.240092440181419,0.245815275513923,0.328708306119875,0.892639807668857
"Th1_cells_Bindea_et_al",0.432430172682271,0.438816258832969,0.324404545210023,0.892639807668857
"TFH_Bindea_et_al",-0.0765701249916158,0.331130505992954,0.817129513545476,0.941572206255872
"NK_cells_Bindea_et_al",0.0661339741823643,0.338499546051193,0.845100252930827,0.941572206255872
"iDC_Bindea_et_al",-0.40085426621531,0.396994619095263,0.312628420163028,0.892639807668857
"Macrophages_Bindea_et_al",0.813951545059856,0.324839341581653,0.0122207551394871,0.362882086595705
"Mast_cells_Bindea_et_al",-0.0734149015988317,0.319924216433442,0.818499039945401,0.941572206255872
"Neutrophils_Bindea_et_al",0.10861090672539,0.31069743432591,0.726660451156122,0.911494097864163
"SW480_cancer_cells_Bindea_et_al",0.096489759735846,0.259805832575173,0.710345720951033,0.911494097864163
"Normal_mucosa_Bindea_et_al",0.368712385126644,0.249213852802022,0.139006206344959,0.70826971804336
"Antigen_Processing_and_Presentation_Li_et_al",0.0176074924524986,0.396985813364436,0.964623064126027,0.995162634584072
"Antimicrobials_Li_et_al",0.495998860337351,0.564478420250227,0.379571959764544,0.893581762218866
"BCR_Signaling_Pathway_Li_et_al",-0.185489504834192,0.260076064942743,0.475714262065422,0.893581762218866
"Chemokines_Li_et_al",0.377363937251245,0.524084706049346,0.471498035278913,0.893581762218866
"Chemokine_Receptors_Li_et_al",-0.440631118325365,0.574757698597309,0.443296748964762,0.893581762218866
"Cytokines_Li_et_al",1.93001213552197,0.799387936051714,0.015762777707077,0.362882086595705
"Cytokine_Receptors_Li_et_al",-0.929231678311963,1.05898465228768,0.380229142865036,0.893581762218866
