"signature","coef","se","pval","fdr"
"Immune_Checkpoint",0.259966327834619,0.254014081412801,0.306103285193097,0.997780300117735
"TMEscoreA_CIR",0.224806163445035,0.291009360040887,0.439815431903734,0.997780300117735
"TMEscoreB_CIR",0.174408317332053,0.341891652334891,0.60996217416995,0.997780300117735
"B_cells_Rooney_et_al",-0.146720464505786,0.237829231681426,0.537290670243225,0.997780300117735
"pDCs_Rooney_et_al",-0.000812459512891502,0.292043113852162,0.997780300117735,0.997780300117735
"Co_stimulation_APC_Rooney_et_al",0.101243911237365,0.344927342650498,0.769122858680024,0.997780300117735
"Co_stimulation_T_cell_Rooney_et_al",-0.178770629578945,0.275707204641736,0.516721396603556,0.997780300117735
"Co_inhibition_T_cell_Rooney_et_al",0.00572538207995037,0.270801202187286,0.98313207762164,0.997780300117735
"MHC_Class_I",-0.0201079937647423,0.214353515378782,0.925261976092962,0.997780300117735
"MHC_Class_II",0.0392602860355726,0.25304077876503,0.876699920928965,0.997780300117735
"T_cell_inflamed_GEP_Ayers_et_al",-0.177684741505967,0.267221650370101,0.506092754301835,0.997780300117735
"MDSC_Wang_et_al",0.139085128611295,0.312996814385122,0.656778022829218,0.997780300117735
"GPAGs",-0.0406202804529697,0.2707194043222,0.88072856601106,0.997780300117735
"PPAGs",0.47444706910606,0.308159728679358,0.123654441886653,0.997780300117735
"HLA_signature_gene",0.0587892088816269,0.299637246160851,0.844452632374404,0.997780300117735
"Neutrophils_Danaher_et_al",0.0745836354029914,0.229179494252506,0.74484986647635,0.997780300117735
"TIP_Cancer_antigen_presentation_1",0.100053889353801,0.30772028868667,0.745070899457496,0.997780300117735
"TIP_Priming_and_activation_1",0.0392239546252446,0.353135314809135,0.911558109251138,0.997780300117735
"TIP_Priming_and_activation_2",0.0236958209558657,0.308130801241371,0.938701645704274,0.997780300117735
"TIP_Trafficking_of_immune_cells_to_tumors",0.201642155352379,0.336042424206054,0.548473114419886,0.997780300117735
"TIP_Recognition_of_cancer_cells_by_T_cells_1",0.154523808449908,0.313574093102128,0.622166315690132,0.997780300117735
"TIP_Recognition_of_cancer_cells_by_T_cells_2",0.278858835858265,0.286615816270454,0.330585128661441,0.997780300117735
"TIP_Killing_of_cancer_cells_2",0.111645768025709,0.319155345187936,0.726476504131482,0.997780300117735
"B_cells_Bindea_et_al",-0.392140211086508,0.304069883670663,0.197176221881517,0.997780300117735
"T_cells_Bindea_et_al",-0.089674597829409,0.233874142352657,0.701400216850681,0.997780300117735
"Th1_cells_Bindea_et_al",0.0365796414426751,0.397256561384276,0.926633964084748,0.997780300117735
"TFH_Bindea_et_al",0.0310619652809138,0.30926903215189,0.919997623687186,0.997780300117735
"NK_cells_Bindea_et_al",0.321016312288159,0.30864314036406,0.298298588221524,0.997780300117735
"iDC_Bindea_et_al",-0.467524627389212,0.371887470253216,0.208693197266499,0.997780300117735
"Macrophages_Bindea_et_al",0.52925584075888,0.303978398902125,0.0816665988372625,0.997780300117735
"Mast_cells_Bindea_et_al",0.197344830761396,0.296900689170143,0.506253290943063,0.997780300117735
"Neutrophils_Bindea_et_al",0.26270914211626,0.290179970442697,0.365289657858187,0.997780300117735
"SW480_cancer_cells_Bindea_et_al",-0.0115821000711014,0.243150236543837,0.962008322436764,0.997780300117735
"Normal_mucosa_Bindea_et_al",0.00697095173432312,0.234306010928011,0.976265251101288,0.997780300117735
"Antigen_Processing_and_Presentation_Li_et_al",-0.0464142716882121,0.370777270174792,0.900380253956551,0.997780300117735
"Antimicrobials_Li_et_al",0.33994438187359,0.540971742772283,0.529744674705482,0.997780300117735
"BCR_Signaling_Pathway_Li_et_al",0.0331324136532243,0.238787386437827,0.889645509181172,0.997780300117735
"Chemokines_Li_et_al",0.174574537998177,0.483578489625075,0.718095268198447,0.997780300117735
"Chemokine_Receptors_Li_et_al",0.010146287493838,0.543845593933032,0.985115082990246,0.997780300117735
"Cytokines_Li_et_al",2.01133734607835,0.749756115705915,0.00730401931238075,0.78153006642474
"Cytokine_Receptors_Li_et_al",-0.259809016311173,0.99787424722238,0.794584179771261,0.997780300117735
"Interleukins_Receptor_Li_et_al",-0.320747949037335,0.54293574662713,0.554677256306165,0.997780300117735
"Natural_Killer_Cell_Cytotoxicity_Li_et_al",0.153776204491276,0.384640278613086,0.689309535427053,0.997780300117735
"TCR_signaling_Pathway_Li_et_al",0.0218120532420757,0.241228194104794,0.92795280549599,0.997780300117735
"TGFb_Family_Member_Receptor_Li_et_al",0.280805148206157,0.328654853623882,0.392879281629608,0.997780300117735
"TNF_Family_Members_Li_et_al",0.257859798881212,0.320890456870137,0.42164201599866,0.997780300117735
"TNF_Family_Members_Receptors_Li_et_al",0.164608573849523,0.407535863852551,0.686277525547164,0.997780300117735
"T_cell_exhaustion_Peng_et_al",-0.252378975380769,0.255448547969986,0.323160681397762,0.997780300117735
"T_cell_regulatory_Peng_et_al",0.126339693092809,0.458007345349035,0.782666017364084,0.997780300117735
"ICB_resistance_Peng_et_al",0.186872078650537,0.259920697357411,0.472166765193911,0.997780300117735
"MDSC_Peng_et_al",0.611357552835035,0.277973086798377,0.0278536982127628,0.997780300117735
"TAM_Peng_et_al",-0.629533336850756,0.395316594455579,0.111277139648467,0.997780300117735
"CD4_c0_Tcm",0.301214242670003,0.311789553111893,0.334003202718445,0.997780300117735
"CD4_c1_Treg",0.0612850746511646,0.29914031621962,0.837673177263471,0.997780300117735
"CD4_c10_Tn_LEF1_ANKRD55",0.0495232284502818,0.349168328638615,0.887212738756064,0.997780300117735
"CD4_c3_Tfh",-0.130669633081937,0.308366778117284,0.671750012807636,0.997780300117735
"CD4_c5_CTL",0.26529836111263,0.316160930847497,0.401399487891627,0.997780300117735
"CD4_c7_Tn_TCEA3",-0.157427253556624,0.306823266553568,0.607889953624439,0.997780300117735
"CD4_c8_Tf17",-0.287143456941336,0.428634135554565,0.502919383833401,0.997780300117735
"CD4_c9_Tn_TCF7_SLC40A1",-0.119684563052539,0.351298634375657,0.733335614626009,0.997780300117735
"CD8_c0_t_Teff",0.460234667387801,0.277710821534354,0.0974700997456764,0.997780300117735
"CD8_c1_Tex",0.149094141884036,0.316800019447282,0.637908252265767,0.997780300117735
"CD8_c10_Teff_CD244",-0.126574209653699,0.266889562410484,0.635316740529874,0.997780300117735
"CD8_c11_Teff_SEMA4A",-0.165092302066177,0.319240085735669,0.60505737400786,0.997780300117735
"CD8_c12_Trm",0.100961831836153,0.275841540800655,0.714354720525268,0.997780300117735
"CD8_c13_Tn_TCF7",0.0360556923221053,0.289812259594044,0.900990248667192,0.997780300117735
"CD8_c2_Teff",0.145444338566574,0.332144371317197,0.661462445945332,0.997780300117735
"CD8_c3_Tn",-0.0303290834908855,0.342284852940084,0.929393665394421,0.997780300117735
"CD8_c6_Tcm",0.157713310006015,0.332361374007542,0.635126585023632,0.997780300117735
"CD8_c7_p_Tex",0.00301141775135285,0.270747134561418,0.991125615446752,0.997780300117735
"CD8_c8_Teff_KLRG1",0.186184271168054,0.342669182733679,0.586898947832473,0.997780300117735
"Mast",0.437590268806742,0.373865981283903,0.241821181954248,0.997780300117735
"Mo_01_CD14",-0.104882202509937,0.314620541852948,0.738861836833663,0.997780300117735
"Mo_02_CD16",0.153637584580906,0.274020771169904,0.575016652776697,0.997780300117735
"Mono_like_01_CD14",0.481237416147544,0.321413546766745,0.134327423953521,0.997780300117735
"Mono_like_02_CD16",0.249904305438645,0.272071880391668,0.358345073997765,0.997780300117735
"Mono_like_03_CD14CD16",0.143768572225489,0.28688888036812,0.616279763236426,0.997780300117735
"MonoDC",-0.00767056872979758,0.261313475342725,0.976582342144509,0.997780300117735
"Mph_01_MARCO",-0.0992122782810579,0.315599015086472,0.753246256546887,0.997780300117735
"Mph_02_CCL20",0.362755494016081,0.256404628371546,0.157133748906461,0.997780300117735
"Mph_03_SPP1",0.499230060932615,0.277812594818278,0.0723351465797949,0.997780300117735
"Mph_04_TREM2",0.294073616664427,0.272322220288595,0.280198404946003,0.997780300117735
"Mph_05_IL1B",0.17085175129477,0.289404147888027,0.554951363157039,0.997780300117735
"Mph_06_CXCL9",0.0653776540420869,0.27240364640221,0.810328039918723,0.997780300117735
"Mph_07_SLC40A1",0.0642250249613778,0.283507054010045,0.820783271027715,0.997780300117735
"Mph_08_APOE",0.10632810414743,0.285001318816187,0.709089394128635,0.997780300117735
"Mph_09_STMN1",0.123181593081909,0.266276539991952,0.643645547038607,0.997780300117735
"Neu_01_MMP8",0.0704234518030796,0.301542928340212,0.815339238291241,0.997780300117735
"Neu_02_S100A12",0.167530792705396,0.348951363354024,0.63115783038969,0.997780300117735
"Neu_03_ISG15",0.20082581652764,0.323800884859005,0.535116957338845,0.997780300117735
"Neu_04_TXNIP",0.154438444667599,0.330374425382106,0.640167305535019,0.997780300117735
"Neu_05_ELL2",0.302468778709814,0.293743591931242,0.303149253661938,0.997780300117735
"Neu_06_PTGS2",0.247848071010117,0.287859824492892,0.389236584898608,0.997780300117735
"Neu_07_APOA2",0.276043553489612,0.258051010531926,0.284743221123192,0.997780300117735
"Neu_08_CD74",0.30766042945577,0.253471654164567,0.224829326847101,0.997780300117735
"Neu_09_IFIT1",0.166147671396759,0.283608069936703,0.557986074626532,0.997780300117735
"Neu_10_SPP1",0.341703334181102,0.261041570011748,0.190534455797029,0.997780300117735
