"cellType","protein","gene_name","r","pval","FDR"
"aDC","ACVRL1","ACVRL1",0.135597050007576,0.146690460114552,0.449258516972586
"aDC","c-Kit","KIT",0.015964405987807,0.86493882959385,0.892004134521236
"aDC","c-Met_pY1235","MET",0.0229249809720054,0.807023456513483,0.892004134521236
"aDC","CD20","MS4A1",0.137045754373792,0.142383093439486,0.449258516972586
"aDC","CD31","PECAM1",0.0776188828432348,0.407569713998581,0.710999137887584
"aDC","CD49b","ITGA2",-0.176412721537485,0.0581809660557558,0.449258516972586
"aDC","Claudin-7","CLDN7",-0.143832637276681,0.123470316095977,0.449258516972586
"aDC","E-Cadherin","CDH1",-0.132179501261426,0.157240480940405,0.449258516972586
"aDC","EGFR","EGFR",0.049855826103139,0.595086724852287,0.818999325207634
"aDC","EGFR_pY1068","EGFR",-0.0472826634468498,0.614249493905725,0.818999325207634
"aDC","EGFR_pY1173","EGFR",-0.0382941526529296,0.683182779805265,0.853978474756581
"aDC","HER2","ERBB2",-0.0722776228713467,0.440687600238137,0.710999137887584
"aDC","HER2_pY1248","ERBB2",-0.149348887751641,0.109575370687445,0.449258516972586
"aDC","HER3","ERBB3",-0.0135199179643971,0.885466043604562,0.892004134521236
"aDC","HER3_pY1289","ERBB3",0.0778762735763865,0.406011679321337,0.710999137887584
"aDC","Heregulin","NRG1",0.0127433021626222,0.892004134521236,0.892004134521236
"aDC","N-Cadherin","CDH2",0.105894089692564,0.257909012421624,0.64477253105406
"aDC","Notch1","NOTCH1",0.161852156156969,0.0826015312027937,0.449258516972586
"aDC","P-Cadherin","CDH3",-0.0689373034514215,0.46214943962693,0.710999137887584
"aDC","VEGFR2","KDR",-0.0853700674177817,0.362205215681321,0.710999137887584
"Adipocytes","ACVRL1","ACVRL1",-0.132211254188289,0.157139915048343,0.755708364355732
"Adipocytes","c-Kit","KIT",0.0218176487133098,0.816175979734474,0.906862199704971
"Adipocytes","c-Met_pY1235","MET",-0.0645472605878457,0.491210436831226,0.755708364355732
"Adipocytes","CD20","MS4A1",-0.0840389945623607,0.36976511693662,0.755708364355732
"Adipocytes","CD31","PECAM1",-0.0318491897310378,0.734310273327597,0.863894439208937
"Adipocytes","CD49b","ITGA2",0.103861703255915,0.26720843582693,0.755708364355732
"Adipocytes","Claudin-7","CLDN7",-0.0807854093673273,0.388647388561309,0.755708364355732
"Adipocytes","E-Cadherin","CDH1",0.0673892748319898,0.47228749581221,0.755708364355732
"Adipocytes","EGFR","EGFR",-0.0118878157879296,0.899214589939269,0.946541673620283
"Adipocytes","EGFR_pY1068","EGFR",0.0785373746712889,0.40202602782519,0.755708364355732
"Adipocytes","EGFR_pY1173","EGFR",-0.103445534552864,0.269140380150849,0.755708364355732
"Adipocytes","HER2","ERBB2",0.0519060367223032,0.580014121728598,0.773352162304797
"Adipocytes","HER2_pY1248","ERBB2",0.0719589010109699,0.442710758404414,0.755708364355732
"Adipocytes","HER3","ERBB3",0.03321560860902,0.723363976673483,0.863894439208937
"Adipocytes","HER3_pY1289","ERBB3",0.00206948426004576,0.982409932410801,0.982409932410801
"Adipocytes","Heregulin","NRG1",-0.0874428671619115,0.350624483295537,0.755708364355732
"Adipocytes","N-Cadherin","CDH2",-0.0867841639737764,0.354279281299911,0.755708364355732
"Adipocytes","Notch1","NOTCH1",0.0542739138174219,0.562829253428764,0.773352162304797
"Adipocytes","P-Cadherin","CDH3",0.144387454512115,0.12201421457969,0.755708364355732
"Adipocytes","VEGFR2","KDR",0.0709100941304466,0.449405166670949,0.755708364355732
